 tracl=104	 tracr=104	  fldr=7	 tracf=8	   cdp=20	  trid=1	offset=-1125	scalel=1	    sx=300	    gx=-825	    ns=251	    dt=8000	

 tracl=105	 tracr=105	  fldr=6	 tracf=10	   cdp=20	  trid=1	offset=-1025	scalel=1	    sx=250	    gx=-775	    ns=251	    dt=8000	

 tracl=106	 tracr=106	  fldr=5	 tracf=12	   cdp=20	  trid=1	offset=-925	scalel=1	    sx=200	    gx=-725	    ns=251	    dt=8000	

 tracl=107	 tracr=107	  fldr=4	 tracf=14	   cdp=20	  trid=1	offset=-825	scalel=1	    sx=150	    gx=-675	    ns=251	    dt=8000	

 tracl=108	 tracr=108	  fldr=3	 tracf=16	   cdp=20	  trid=1	offset=-725	scalel=1	    sx=100	    gx=-625	    ns=251	    dt=8000	

 tracl=109	 tracr=109	  fldr=2	 tracf=18	   cdp=20	  trid=1	offset=-625	scalel=1	    sx=50	    gx=-575	    ns=251	    dt=8000	

 tracl=110	 tracr=110	  fldr=1	 tracf=20	   cdp=20	  trid=1	offset=-525	scalel=1	    sx=0	    gx=-525	    ns=251	    dt=8000	

 tracl=111	 tracr=111	  fldr=11	 tracf=1	   cdp=21	  trid=1	offset=-1475	scalel=1	    sx=500	    gx=-975	    ns=251	    dt=8000	

 tracl=112	 tracr=112	  fldr=10	 tracf=3	   cdp=21	  trid=1	offset=-1375	scalel=1	    sx=450	    gx=-925	    ns=251	    dt=8000	

 tracl=113	 tracr=113	  fldr=9	 tracf=5	   cdp=21	  trid=1	offset=-1275	scalel=1	    sx=400	    gx=-875	    ns=251	    dt=8000	

 tracl=114	 tracr=114	  fldr=8	 tracf=7	   cdp=21	  trid=1	offset=-1175	scalel=1	    sx=350	    gx=-825	    ns=251	    dt=8000	

 tracl=115	 tracr=115	  fldr=7	 tracf=9	   cdp=21	  trid=1	offset=-1075	scalel=1	    sx=300	    gx=-775	    ns=251	    dt=8000	

 tracl=116	 tracr=116	  fldr=6	 tracf=11	   cdp=21	  trid=1	offset=-975	scalel=1	    sx=250	    gx=-725	    ns=251	    dt=8000	

 tracl=117	 tracr=117	  fldr=5	 tracf=13	   cdp=21	  trid=1	offset=-875	scalel=1	    sx=200	    gx=-675	    ns=251	    dt=8000	

